Date	Time	Temp	Wind_dir	Wind_spd	EF_NH3	EF_CH4	EF_N2O
20161114	8	1	172.928075	2.42815039	0.755840734	11.8784011	0.072103505
20161114	9	1.58333333	182.430671	2.43521713	1.06912594	11.8951001	0.125525389
20161114	10	3.16666667	182.501864	2.7896099	0.545567422	11.4655285	0.154205808
20161114	11	4.25	175.401608	3.00257161	1.05161806	14.6253842	0
20161114	12	5.08333333	182.061584	2.6801023	0.942614403	14.1873005	0.319718392
20161114	13	4.25	172.931583	2.58199213	1.05464503	15.5964223	0.201215941
20161114	14	3.58333333	172.323942	1.76350666	1.30580934	17.1180008	-0.184544913
20161114	15	2.58333333	164.258096	1.88846638	0.89064855	14.2121083	-0.119247032
20161114	16	1.91666667	166.516142	2.38148529	1.27076723	17.1596223	-0.248666605
20161114	17	1.91666667	168.919056	2.73485699	0.970115917	14.0474412	-0.653253936
20161114	18	2.25	174.665937	2.51070851	1.23782841	12.584836	-1.08581856
20161114	19	2.5	174.567303	3.05658385	0.83632836	14.8298329	0.132969383
20161114	20	2.83333333	174.887579	3.01973669	0.872256622	13.7685874	0.16641802
20161114	21	3.16666667	183.606122	2.99908171	0.762476207	10.3516627	-0.554182827
20161114	22	3	175.159019	3.3692594	0.976492525	13.3469311	0.160262546
20161114	23	2.83333333	176.057062	3.5759656	0.841310493	13.2305999	0.24694431
20161115	0	2.16666667	173.412559	3.70124228	0.850749419	7.80483811	-0.341715066
20161115	1	2	166.177416	3.31462788	0.545487893	8.3197257	-0.277529993
20161115	2	2	169.042961	3.70810975	0.631505142	8.08004849	-1.07097774
20161115	3	2	176.586449	3.82836973	0.47373398	8.47087466	-0.860798128
20161115	4	2	178.820146	3.42639274	0.341654226	8.72337337	-0.267422687
20161115	5	2	186.015303	2.90101201	0.592256005	11.5315253	0.150662193
20161115	6	2.16666667	178.993177	3.23999203	0.418613011	8.50638852	-0.798672624
20161115	7	2.41666667	183.231008	3.38304776	0.658747572	11.719131	0.418941949
20161115	8	2.58333333	184.048178	2.95743977	0.500845606	10.0050098	-0.926607866
20161115	9	2.66666667	179.892711	2.96520786	0.73811413	15.7829395	0.352062366
20161115	10	3.41666667	179.161484	3.35929863	0.317544872	10.514898	-0.346196865
20161115	11	4	186.812726	2.81320985	0.709855846	10.6823611	-0.277812395
20161115	12	4.33333333	193.315765	2.52159163	0.588876333	19.1935336	-0.115232653
20161115	13	4.91666667	192.929903	2.0887444	0.418129091	12.7102187	-0.303904515
20161115	14	5.08333333	198.070214	2.25108851	0.591756932	12.5902465	-0.316916286
20161115	15	5.66666667	214.645935	2.15331916	0.54309576	12.5605379	-0.307014375
20161115	16	6	214.875332	2.17169232	0.961005776	15.6332262	0.222243017
20161115	17	6.83333333	238.869061	2.06235358	0.457669666	12.5015983	-0.313452425
20161115	18	8.08333333	257.437704	1.63140987	0.496376073	10.2271898	-0.280603535
20161115	19	9.25	298.108649	2.24438185	0.497540289	10.593493	-0.271216611
20161115	20	9.91666667	308.11633	3.21628105	0.686094575	9.73546731	-0.189710326
20161115	21	9.25	306.76135	3.34644866	0.878751096	9.09185885	-0.254025912
